mall_name,event_title,duration,benefit_summary,detail_url,thumbnail_url,target
Baropharm,🎉바로팜🏥BPCS 4월 이벤트 이미지,"2026-04-15
                    ~
                    2026-04-30",바로팜 이벤트,https://www.baropharm.com/events/16226,https://i.baropharm.com/uploads/event/202604/1776172106609.png?&w=752&q=95,
Baropharm,발모의 여왕👑 엘크라넬 바로라이브📺 이미지,"2026-04-13
                    ~
                    2026-04-22",바로팜 이벤트,https://www.baropharm.com/events/16224,https://i.baropharm.com/event/f2ffbf4f-b839-463b-b9a5-729e6a658434.png?&w=752&q=95,
Baropharm,"🎉팜올플러스📚열심히 공부한 당신, 먹어라! 이미지","2026-04-14
                    ~
                    2026-04-30",팜올플러스 이벤트,https://www.baropharm.com/events/16223,https://i.baropharm.com/event/602fb6e4-bfea-43ca-bdbf-130ecd9d52d8.png?&w=752&q=95,
Baropharm,🎉바로팜📸4월도 찰칵! 필렌즈 챌린지 이미지,"2026-04-01
                    ~
                    2026-04-30",바로팜 이벤트,https://www.baropharm.com/events/16152,https://i.baropharm.com/event/38024628-8f21-4239-9c0d-a526f317a6b6.png?&w=752&q=95,
Baropharm,🎉바로팜📦Baro통합반품 이미지,"2024-01-01
                    ~
                    2126-12-31",바로팜 이벤트,https://www.baropharm.com/events/16114,https://i.baropharm.com/event/7e65432b-3a68-42d1-84c4-977c91024479.png?&w=752&q=95,
Baropharm,🎉바로팜💊필렌즈 2만한 선택💟 이미지,"2026-03-30
                    ~
                    2026-04-30",바로팜 이벤트,https://www.baropharm.com/events/16100,https://i.baropharm.com/event/e535d3d8-7337-4d9d-ac59-896ca8d758ca.png?&w=752&q=95,
Baropharm,📝 전문가상담 리포트 이미지,"2026-03-30
                    ~
                    2026-12-31",바로팜 이벤트,https://www.baropharm.com/events/16098,https://i.baropharm.com/event/d006e9b3-fc2b-4acc-bef1-cbd8831cb0fa.png?&w=752&q=95,
Baropharm,[드림에어] 4월 봄맞이 월간이벤트💐 이미지,"2026-04-01
                    ~
                    2026-04-30",입점업체 이벤트,https://www.baropharm.com/events/16032,https://i.baropharm.com/event/1ac4f2c5-f2cc-4bb2-a7dd-eeb610145b79.jpg?&w=752&q=95,
Baropharm,🎉바로팜🏥BPCS(처방전달솔루션) 이미지,"2026-03-04
                    ~
                    2126-03-31",바로팜 이벤트,https://www.baropharm.com/events/15630,https://i.baropharm.com/event/93fd22a9-8551-4689-88d2-4cd6ae46908f.png?&w=752&q=95,
Baropharm,"셀트리온 더마 솔루션 ""지피덤"" 입점 이벤트 이미지","2026-02-11
                    ~
                    2026-05-01",브랜드관 이벤트,https://www.baropharm.com/events/15341,https://i.baropharm.com/event/ab46a1a4-b6e5-4963-8961-e6455986fa59.png?&w=752&q=95,
Baropharm,🎉팜올플러스📚약사는 처음이지😉 이미지,"2026-02-11
                    ~
                    2126-03-31",팜올플러스 이벤트,https://www.baropharm.com/events/15303,https://i.baropharm.com/event/e4cf6abd-b83e-4806-a161-397a8735a8b1.png?&w=752&q=95,
Baropharm,🎉팜올플러스📚에듀플러스 이미지,"2026-02-11
                    ~
                    2126-03-31",팜올플러스 이벤트,https://www.baropharm.com/events/15302,https://i.baropharm.com/event/f31d47f2-0273-4ca9-bec5-bb6f694e4676.png?&w=752&q=95,
Baropharm,🍱헤이오드리 x 바로팜 점심 지원 이벤트 이미지,"2026-02-09
                    ~
                    2026-05-01",커뮤니티 이벤트,https://www.baropharm.com/events/15268,https://i.baropharm.com/event/f5bf28cf-ecbe-4ee0-ae5f-6f9e2b541872.png?&w=752&q=95,
Baropharm,"🎉 약국 개국을 위한 모든 것, 오픈플러스 이미지","2025-12-24
                    ~
                    2026-12-31",팜올플러스 이벤트,https://www.baropharm.com/events/14513,https://i.baropharm.com/event/a2f242e3-80fe-4289-9247-a152e9998d8e.png?&w=752&q=95,
Baropharm,♥️365일 상시 진행⭐셀링리뷰 혜택 이미지,"2025-12-19
                    ~
                    2027-02-28",바로팜 이벤트,https://www.baropharm.com/events/14479,https://i.baropharm.com/event/66c31941-6010-47c6-83ac-83db6bd666e0.png?&w=752&q=95,
Baropharm,"🎉 최대 60만점 적립, KB 비즈프라임카드 이미지","2025-11-28
                    ~
                    2026-04-30",카드 프로모션,https://www.baropharm.com/events/14224,https://i.baropharm.com/event/5b608361-d841-4a8c-8f05-41f5416f04e8.png?&w=752&q=95,
Baropharm,🎉 바로팜 계좌결제 프로모션 이미지,"2024-07-18
                    ~
                    2026-12-31",카드 프로모션,https://www.baropharm.com/events/7588,https://i.baropharm.com/event/0fe7aa96-813e-411f-8bca-e9c9333f0564.png?&w=752&q=95,
